ubigeo,departamento,provincia,distrito,pob_censada,hombres,mujeres,urbana,rural,ipress,medicos,enfermeras,obstetras,odontologos,camas,med_10k
010202,Amazonas,Bagua,Aramango,9455,4848,4607,3506,5949,19,0,0,0,0,0,0.0
010201,Amazonas,Bagua,Bagua,27426,13201,14225,25101,2325,42,76,108,32,7,121,27.7
010203,Amazonas,Bagua,Copallín,4582,2345,2237,2575,2007,6,0,0,0,0,0,0.0
010204,Amazonas,Bagua,El Parco,1210,598,612,0,1210,3,0,0,0,0,0,0.0
010205,Amazonas,Bagua,Imaza,44459,22120,22339,5186,39273,41,0,0,0,0,0,0.0
010206,Amazonas,Bagua,La Peca,5969,2956,3013,3765,2204,6,0,0,0,0,0,0.0
010302,Amazonas,Bongará,Chisquilla,362,195,167,0,362,1,0,0,0,0,0,0.0
010303,Amazonas,Bongará,Churuja,234,121,113,0,234,1,0,0,0,0,0,0.0
010304,Amazonas,Bongará,Corosha,704,345,359,0,704,1,0,0,0,0,0,0.0
010305,Amazonas,Bongará,Cuispes,714,354,360,0,714,2,0,0,0,0,0,0.0
010306,Amazonas,Bongará,Florida,6229,3040,3189,4056,2173,5,0,0,0,0,0,0.0
010307,Amazonas,Bongará,Jazán,7309,3462,3847,5630,1679,12,6,9,6,2,10,8.2
010301,Amazonas,Bongará,Jumbilla,1479,728,751,0,1479,2,0,0,0,0,0,0.0
010308,Amazonas,Bongará,Recta,162,73,89,0,162,1,0,0,0,0,0,0.0
010309,Amazonas,Bongará,San Carlos,318,172,146,0,318,1,0,0,0,0,0,0.0
010310,Amazonas,Bongará,Shipasbamba,1475,758,717,0,1475,4,0,0,0,0,0,0.0
010311,Amazonas,Bongará,Valera,1026,521,505,0,1026,4,0,0,0,0,0,0.0
010312,Amazonas,Bongará,Yambrasbamba,5984,2981,3003,2319,3665,9,0,0,0,0,0,0.0
010102,Amazonas,Chachapoyas,Asunción,212,102,110,0,212,1,0,0,0,0,0,0.0
010103,Amazonas,Chachapoyas,Balsas,1428,773,655,0,1428,3,0,0,0,0,0,0.0
010101,Amazonas,Chachapoyas,Chachapoyas,38529,18210,20319,37547,982,111,100,183,39,9,131,26.0
010104,Amazonas,Chachapoyas,Cheto,601,313,288,0,601,1,0,0,0,0,0,0.0
010105,Amazonas,Chachapoyas,Chiliquín,590,310,280,0,590,4,0,0,0,0,0,0.0
010106,Amazonas,Chachapoyas,Chuquibamba,2017,1067,950,0,2017,6,0,0,0,0,0,0.0
010107,Amazonas,Chachapoyas,Granada,417,204,213,0,417,1,0,0,0,0,0,0.0
010108,Amazonas,Chachapoyas,Huancas,1313,1029,284,0,1313,2,0,0,0,0,0,0.0
010109,Amazonas,Chachapoyas,La Jalca,4627,2337,2290,2446,2181,10,0,0,0,0,0,0.0
