ubigeo,departamento,provincia,pob_total,pob_censada,hombres,mujeres,urbana,rural,viviendas,sis,essalud,sin_seguro,pob_sis,pob_essalud,n_ipress,medicos,enfermeras,obstetras,d_medicos,d_enfermeras,med_pub,med_ess,pct_oms,hab_medico
010200,Amazonas,Bagua,95858,93101,46068,47033,40133,52968,34089.0,81042.0,9530.0,2083.0,81042,9530,117,76,108,32,7.9,11.3,6.0,19.9,50.6,1261.0
010300,Amazonas,Bongará,26784,25996,12750,13246,12005,13991,12334.0,22678.0,2494.0,439.0,22678,2494,43,6,9,6,2.2,3.4,2.6,0.0,17.6,4464.0
010100,Amazonas,Chachapoyas,65527,62426,30709,31717,42299,20127,32070.0,46892.0,13051.0,1128.0,46892,13051,163,100,183,39,15.3,27.9,12.8,27.6,110.4,655.0
010400,Amazonas,Condorcanqui,82415,80426,40236,40190,10543,69883,22481.0,73684.0,3081.0,3507.0,73684,3081,84,9,23,18,1.1,2.8,1.2,0.0,13.6,9157.0
010500,Amazonas,Luya,48323,47496,24360,23136,12557,34939,21802.0,43342.0,3225.0,579.0,43342,3225,79,0,0,0,0.0,0.0,0.0,0.0,0.0,
010600,Amazonas,Rodríguez De Mendoza,33853,33249,17199,16050,4986,28263,15623.0,29008.0,3170.0,626.0,29008,3170,51,15,13,10,4.4,3.8,3.8,0.0,25.2,2257.0
010700,Amazonas,Utcubamba,114928,110406,55717,54689,55586,54820,50833.0,96082.0,11148.0,2115.0,96082,11148,144,73,93,34,6.4,8.1,2.9,17.9,39.1,1574.0
030100,Apurímac,Abancay,123483,115560,56216,59344,81810,33750,57788.0,85852.0,25959.0,1926.0,85852,25959,171,266,353,52,21.5,28.6,11.5,45.8,122.1,464.0
030200,Apurímac,Andahuaylas,160165,153277,74237,79040,84342,68935,75688.0,132828.0,16334.0,2506.0,132828,16334,214,166,275,70,10.4,17.2,6.6,36.1,71.7,965.0
030300,Apurímac,Antabamba,14364,13291,6582,6709,2425,10866,8087.0,11719.0,1448.0,69.0,11719,1448,30,0,0,0,0.0,0.0,0.0,0.0,0.0,
030400,Apurímac,Aymaraes,30038,28639,14260,14379,6838,21801,19192.0,24009.0,4159.0,215.0,24009,4159,63,45,92,30,15.0,30.6,18.7,0.0,124.9,668.0
030600,Apurímac,Chincheros,56458,54987,27274,27713,19602,35385,27610.0,50520.0,3851.0,390.0,50520,3851,67,33,52,32,5.8,9.2,5.7,0.0,46.6,1711.0
030500,Apurímac,Cotabambas,58750,56656,28190,28466,20438,36218,33490.0,51168.0,4005.0,686.0,51168,4005,79,9,9,6,1.5,1.5,1.8,0.0,9.2,6528.0
030700,Apurímac,Grau,24255,23032,11433,11599,3240,19792,14210.0,20421.0,2412.0,129.0,20421,2412,44,0,0,0,0.0,0.0,0.0,0.0,0.0,
040100,Arequipa,Arequipa,1382326,1321546,648955,672591,1297000,24546,587550.0,630035.0,508370.0,112100.0,630035,508370,1034,3619,3122,552,26.2,22.6,14.2,21.6,118.6,382.0
040200,Arequipa,Camaná,77222,71932,36791,35141,67020,4912,39356.0,50239.0,14127.0,6104.0,50239,14127,40,55,118,31,7.1,15.3,6.6,15.6,59.4,1404.0
040300,Arequipa,Caravelí,59568,55628,29158,26470,46200,9428,29422.0,43976.0,6350.0,4632.0,43976,6350,24,12,12,10,2.0,2.0,2.5,1.6,12.8,4964.0
040400,Arequipa,Castilla,35259,34404,17416,16988,17884,16520,20044.0,24585.0,7579.0,1686.0,24585,7579,38,91,106,44,25.8,30.1,35.8,4.0,153.6,387.0
040500,Arequipa,Caylloma,161663,158673,85143,73530,115741,42932,78821.0,127855.0,18666.0,10596.0,127855,18666,52,127,162,80,7.9,10.0,9.9,0.5,51.3,1273.0
040600,Arequipa,Condesuyos,20917,20028,10399,9629,10734,9294,11598.0,14931.0,3270.0,1442.0,14931,3270,17,19,25,19,9.1,12.0,12.7,0.0,67.7,1101.0
040700,Arequipa,Islay,63150,59911,29942,29969,56000,3911,32943.0,31287.0,23559.0,3562.0,31287,23559,32,86,134,61,13.6,21.2,26.8,0.8,100.0,734.0
040800,Arequipa,La Unión,14449,14034,7007,7027,2533,11501,9275.0,12513.0,1181.0,274.0,12513,1181,19,26,38,26,18.0,26.3,20.8,0.0,140.0,556.0
050200,Ayacucho,Cangallo,41199,40029,19558,20471,12780,27249,23940.0,36850.0,2841.0,214.0,36850,2841,33,68,110,83,16.5,26.7,18.5,0.0,142.4,606.0
050100,Ayacucho,Huamanga,318112,300829,147314,153515,225065,75764,137609.0,239573.0,50050.0,6888.0,239573,50050,268,504,905,295,15.8,28.4,12.6,33.4,120.4,631.0
050300,Ayacucho,Huanca Sancos,8489,8206,3844,4362,2879,5327,6651.0,7250.0,887.0,43.0,7250,887,13,0,0,0,0.0,0.0,0.0,0.0,0.0,
050400,Ayacucho,Huanta,110068,106101,52160,53941,53109,52992,50994.0,96937.0,7264.0,1261.0,96937,7264,82,63,80,54,5.7,7.3,6.4,0.0,40.2,1747.0
050500,Ayacucho,La Mar,82285,78602,40041,38561,30380,48222,39761.0,74548.0,3066.0,817.0,74548,3066,73,52,80,51,6.3,9.7,6.8,0.0,50.0,1582.0
